# Gene Family
UNMAPPED
UNGROUPED
UNGROUPED|g__Absiella.s__Absiella_dolichum
UNGROUPED|g__Acidaminococcus.s__Acidaminococcus_fermentans
UNGROUPED|g__Acidaminococcus.s__Acidaminococcus_intestini
UNGROUPED|g__Acidaminococcus.s__Acidaminococcus_intestini_CAG_325
UNGROUPED|g__Actinomyces.s__Actinomyces_naeslundii
UNGROUPED|g__Actinomyces.s__Actinomyces_odontolyticus
UNGROUPED|g__Actinomyces.s__Actinomyces_oris
UNGROUPED|g__Actinomyces.s__Actinomyces_sp_ICM47
UNGROUPED|g__Actinomyces.s__Actinomyces_turicensis
UNGROUPED|g__Agathobaculum.s__Agathobaculum_butyriciproducens
UNGROUPED|g__Aggregatibacter.s__Aggregatibacter_segnis
UNGROUPED|g__Akkermansia.s__Akkermansia_muciniphila
UNGROUPED|g__Alistipes.s__Alistipes_finegoldii
UNGROUPED|g__Alistipes.s__Alistipes_indistinctus
UNGROUPED|g__Alistipes.s__Alistipes_onderdonkii
UNGROUPED|g__Alistipes.s__Alistipes_putredinis
UNGROUPED|g__Alistipes.s__Alistipes_putredinis_CAG_67
UNGROUPED|g__Alistipes.s__Alistipes_sp_An31A
UNGROUPED|g__Alistipes.s__Alistipes_timonensis
UNGROUPED|g__Allisonella.s__Allisonella_histaminiformans
UNGROUPED|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250
UNGROUPED|g__Anaerostipes.s__Anaerostipes_hadrus
UNGROUPED|g__Anaerotignum.s__Anaerotignum_lactatifermentans
UNGROUPED|g__Anaerotruncus.s__Anaerotruncus_colihominis
UNGROUPED|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528
UNGROUPED|g__Arcobacter.s__Arcobacter_butzleri
UNGROUPED|g__Bacteroidales_unclassified.s__Bacteroidales_bacterium_KA00251
UNGROUPED|g__Bacteroides.s__Bacteroides_caccae
UNGROUPED|g__Bacteroides.s__Bacteroides_cellulosilyticus
UNGROUPED|g__Bacteroides.s__Bacteroides_clarus
UNGROUPED|g__Bacteroides.s__Bacteroides_coprocola
UNGROUPED|g__Bacteroides.s__Bacteroides_coprocola_CAG_162
UNGROUPED|g__Bacteroides.s__Bacteroides_coprophilus
UNGROUPED|g__Bacteroides.s__Bacteroides_coprophilus_CAG_333
UNGROUPED|g__Bacteroides.s__Bacteroides_dorei
UNGROUPED|g__Bacteroides.s__Bacteroides_eggerthii
UNGROUPED|g__Bacteroides.s__Bacteroides_faecichinchillae
UNGROUPED|g__Bacteroides.s__Bacteroides_faecis
UNGROUPED|g__Bacteroides.s__Bacteroides_finegoldii
UNGROUPED|g__Bacteroides.s__Bacteroides_fluxus
UNGROUPED|g__Bacteroides.s__Bacteroides_fragilis
